,precision,recall,f1-score
rDB01,0.9786794695189478,0.9785714285714286,0.9785700786338631
rDF02,0.9863822326125075,0.9964285714285713,0.9912416764590677
rDP03,0.9869335222443796,0.9947019867549669,0.9907762309877828
rDR04,0.9931618936294566,0.9732203389830507,0.9830209006679596
rDS05,0.9514705882352942,0.8904411764705882,0.9182809330628803
rDS06,0.9875850340136054,0.9916666666666668,0.9896048109965637
rDX07,0.971819498069498,0.9268253968253969,0.9479535490182338
rDX08,0.9835034013605443,1.0,0.9916657623440044
rDA09,0.9444805194805195,0.9031620553359684,0.9227918972006057
rDM10,0.95,1.0,0.9714285714285715
rDU11,0.9726984126984126,0.9857142857142858,0.9787642263405782
