filename,rDA09,rDB01,rDF02,rDM10,rDP03,rDR04,rDS05,rDS06,rDU11,rDX07,rDX08,label,label_id
10000,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
10001,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
10002,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
10003,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
10004,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
10005,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
10006,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
10007,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
10008,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
10009,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
10676,1,0,0,0,0,0,0,0,0,0,0,rDA09,8
10677,1,0,0,0,0,0,0,0,0,0,0,rDA09,8
10678,1,0,0,0,0,0,0,0,0,0,0,rDA09,8
10679,1,0,0,0,0,0,0,0,0,0,0,rDA09,8
10680,1,0,0,0,0,0,0,0,0,0,0,rDA09,8
10681,1,0,0,0,0,0,0,0,0,0,0,rDA09,8
10701,0,0,0,0,0,1,0,0,0,0,0,rDR04,3
10702,0,0,0,0,0,1,0,0,0,0,0,rDR04,3
10703,0,0,0,0,0,1,0,0,0,0,0,rDR04,3
10704,0,0,0,0,0,1,0,0,0,0,0,rDR04,3
10705,0,0,0,0,0,1,0,0,0,0,0,rDR04,3
10706,0,0,0,0,0,1,0,0,0,0,0,rDR04,3
10707,0,0,0,0,0,1,0,0,0,0,0,rDR04,3
10708,0,0,0,0,0,1,0,0,0,0,0,rDR04,3
10709,0,0,0,0,0,1,0,0,0,0,0,rDR04,3
10710,0,0,0,0,0,1,0,0,0,0,0,rDR04,3
10711,0,0,0,0,0,1,0,0,0,0,0,rDR04,3
10712,0,0,0,0,0,1,0,0,0,0,0,rDR04,3
10716,0,0,0,0,0,1,0,0,0,0,0,rDR04,3
10717,0,0,0,0,0,1,0,0,0,0,0,rDR04,3
10718,0,0,0,0,0,1,0,0,0,0,0,rDR04,3
10719,0,0,0,0,0,1,0,0,0,0,0,rDR04,3
10720,0,0,0,0,0,1,0,0,0,0,0,rDR04,3
10721,0,0,0,0,0,1,0,0,0,0,0,rDR04,3
10722,0,0,0,0,0,1,0,0,0,0,0,rDR04,3
10723,0,0,0,0,0,1,0,0,0,0,0,rDR04,3
10724,0,0,0,0,0,1,0,0,0,0,0,rDR04,3
10725,0,0,0,0,0,1,0,0,0,0,0,rDR04,3
10726,0,0,0,0,0,1,0,0,0,0,0,rDR04,3
10727,0,0,0,0,0,1,0,0,0,0,0,rDR04,3
10728,0,0,0,0,0,1,0,0,0,0,0,rDR04,3
10729,0,0,0,0,0,1,0,0,0,0,0,rDR04,3
10730,0,0,0,0,0,1,0,0,0,0,0,rDR04,3
10731,0,0,0,0,0,1,0,0,0,0,0,rDR04,3
10732,0,0,0,0,0,1,0,0,0,0,0,rDR04,3
10733,0,0,0,0,0,1,0,0,0,0,0,rDR04,3
10734,0,0,0,0,0,1,0,0,0,0,0,rDR04,3
10735,0,0,0,0,0,1,0,0,0,0,0,rDR04,3
10736,0,0,0,0,0,1,0,0,0,0,0,rDR04,3
10737,0,0,0,0,0,1,0,0,0,0,0,rDR04,3
10738,0,0,0,0,0,1,0,0,0,0,0,rDR04,3
10739,0,0,0,0,0,1,0,0,0,0,0,rDR04,3
10740,0,0,0,0,0,1,0,0,0,0,0,rDR04,3
10741,0,0,0,0,0,1,0,0,0,0,0,rDR04,3
10742,0,0,0,0,0,1,0,0,0,0,0,rDR04,3
10743,0,0,0,0,0,1,0,0,0,0,0,rDR04,3
10744,0,0,0,0,0,1,0,0,0,0,0,rDR04,3
10745,0,0,0,0,0,1,0,0,0,0,0,rDR04,3
10746,0,0,0,0,0,1,0,0,0,0,0,rDR04,3
10747,0,0,0,0,0,1,0,0,0,0,0,rDR04,3
10748,0,0,0,0,0,1,0,0,0,0,0,rDR04,3
10749,0,0,0,0,0,1,0,0,0,0,0,rDR04,3
10750,0,0,0,0,0,1,0,0,0,0,0,rDR04,3
10751,0,0,0,0,0,1,0,0,0,0,0,rDR04,3
10752,0,0,0,0,0,1,0,0,0,0,0,rDR04,3
10753,0,0,0,0,0,1,0,0,0,0,0,rDR04,3
10754,0,0,0,0,0,1,0,0,0,0,0,rDR04,3
10755,0,0,0,0,0,1,0,0,0,0,0,rDR04,3
10756,0,0,0,0,0,1,0,0,0,0,0,rDR04,3
10757,0,0,0,0,0,1,0,0,0,0,0,rDR04,3
10758,0,0,0,0,0,1,0,0,0,0,0,rDR04,3
10759,0,0,0,0,0,1,0,0,0,0,0,rDR04,3
10760,0,0,0,0,0,1,0,0,0,0,0,rDR04,3
10761,0,0,0,0,0,1,0,0,0,0,0,rDR04,3
10762,0,0,0,0,0,1,0,0,0,0,0,rDR04,3
10763,0,0,0,0,0,1,0,0,0,0,0,rDR04,3
10764,0,0,0,0,0,1,0,0,0,0,0,rDR04,3
10765,0,0,0,0,0,1,0,0,0,0,0,rDR04,3
10766,0,0,0,0,0,1,0,0,0,0,0,rDR04,3
10791,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
10792,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
10793,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
10794,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
10795,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
10796,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
10797,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
10798,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
10799,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
10800,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
10801,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
10802,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
10803,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
10804,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
