filename,rDA09,rDB01,rDF02,rDM10,rDP03,rDR04,rDS05,rDS06,rDU11,rDX07,rDX08,label,label_id
11019,0,1,0,0,0,0,0,0,0,0,0,rDB01,0
8666,0,0,1,0,0,0,0,0,0,0,0,rDF02,1
4083,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
10760,0,0,0,0,0,1,0,0,0,0,0,rDR04,3
4983,0,0,1,0,0,0,0,0,0,0,0,rDF02,1
32811,0,0,0,0,0,1,0,0,0,0,0,rDR04,3
9557,0,0,1,0,0,0,0,0,0,0,0,rDF02,1
10922,0,0,0,0,0,0,0,1,0,0,0,rDS06,5
10716,0,0,0,0,0,1,0,0,0,0,0,rDR04,3
8687,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
17999,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
9410,0,0,1,0,0,0,0,0,0,0,0,rDF02,1
22214,0,0,0,0,0,0,0,0,1,0,0,rDU11,10
4099,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
6418,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
11056,0,1,0,0,0,0,0,0,0,0,0,rDB01,0
6043,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
4731,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
11212,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
17292,0,0,0,0,0,0,0,1,0,0,0,rDS06,5
343,0,1,0,0,0,0,0,0,0,0,0,rDB01,0
6116,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
4778,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
4057,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
18380,1,0,0,0,0,0,0,0,0,0,0,rDA09,8
18361,1,0,0,0,0,0,0,0,0,0,0,rDA09,8
9394,0,0,1,0,0,0,0,0,0,0,0,rDF02,1
22106,0,0,0,0,0,0,0,0,1,0,0,rDU11,10
20667,0,0,0,0,0,1,0,0,0,0,0,rDR04,3
17407,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
3993,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
21675,0,0,0,0,0,1,0,0,0,0,0,rDR04,3
5032,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
17984,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
21551,0,1,0,0,0,0,0,0,0,0,0,rDB01,0
18427,0,0,0,0,0,0,0,0,1,0,0,rDU11,10
11199,0,0,0,0,0,0,0,1,0,0,0,rDS06,5
5040,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
10984,0,1,0,0,0,0,0,0,0,0,0,rDB01,0
5985,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
9429,0,0,1,0,0,0,0,0,0,0,0,rDF02,1
21598,0,0,0,0,0,1,0,0,0,0,0,rDR04,3
4918,0,0,1,0,0,0,0,0,0,0,0,rDF02,1
10832,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
4896,0,0,1,0,0,0,0,0,0,0,0,rDF02,1
4043,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
22210,0,0,0,0,0,0,0,0,1,0,0,rDU11,10
4943,0,0,1,0,0,0,0,0,0,0,0,rDF02,1
5979,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
22560,0,0,0,0,0,0,1,0,0,0,0,rDS05,4
18316,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
9407,0,0,1,0,0,0,0,0,0,0,0,rDF02,1
22163,0,0,0,0,0,0,0,0,1,0,0,rDU11,10
17964,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
5754,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
22183,0,0,0,0,0,0,0,0,1,0,0,rDU11,10
6249,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
5879,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
26745,0,0,1,0,0,0,0,0,0,0,0,rDF02,1
10983,0,1,0,0,0,0,0,0,0,0,0,rDB01,0
21563,0,1,0,0,0,0,0,0,0,0,0,rDB01,0
22289,0,0,0,0,0,0,0,0,0,0,1,rDX08,7
4715,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
20572,0,0,0,0,0,0,0,0,0,1,0,rDX07,6
22638,0,0,0,0,0,0,0,0,0,0,1,rDX08,7
22084,0,0,0,0,0,0,0,0,1,0,0,rDU11,10
5917,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
10817,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
18012,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
249,0,0,0,0,0,0,0,1,0,0,0,rDS06,5
5893,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
6032,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
10000,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
22152,0,0,0,0,0,0,0,0,1,0,0,rDU11,10
10808,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
17994,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
5980,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
4021,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
26749,0,0,1,0,0,0,0,0,0,0,0,rDF02,1
10827,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
20651,0,0,0,0,0,1,0,0,0,0,0,rDR04,3
5064,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
20558,0,0,0,0,0,0,0,0,0,1,0,rDX07,6
18347,1,0,0,0,0,0,0,0,0,0,0,rDA09,8
1167,0,1,0,0,0,0,0,0,0,0,0,rDB01,0
9978,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
6306,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
4074,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
6230,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
5971,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
5728,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
4075,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
5707,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
17948,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
17295,0,0,0,0,0,0,0,1,0,0,0,rDS06,5
17924,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
4766,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
22304,0,0,0,0,0,0,0,0,0,0,1,rDX08,7
22161,0,0,0,0,0,0,0,0,1,0,0,rDU11,10
4970,0,0,1,0,0,0,0,0,0,0,0,rDF02,1
20671,0,0,0,0,0,1,0,0,0,0,0,rDR04,3
415,0,1,0,0,0,0,0,0,0,0,0,rDB01,0
4013,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
10008,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
16985,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
342,0,1,0,0,0,0,0,0,0,0,0,rDB01,0
10734,0,0,0,0,0,1,0,0,0,0,0,rDR04,3
16667,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
19009,1,0,0,0,0,0,0,0,0,0,0,rDA09,8
16669,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
10976,0,1,0,0,0,0,0,0,0,0,0,rDB01,0
21617,0,0,0,0,0,1,0,0,0,0,0,rDR04,3
11127,0,0,0,0,0,0,0,1,0,0,0,rDS06,5
10889,0,0,0,0,0,0,0,1,0,0,0,rDS06,5
20933,0,0,0,0,0,1,0,0,0,0,0,rDR04,3
16644,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
4997,0,0,1,0,0,0,0,0,0,0,0,rDF02,1
6214,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
18308,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
18352,1,0,0,0,0,0,0,0,0,0,0,rDA09,8
4969,0,0,1,0,0,0,0,0,0,0,0,rDF02,1
5982,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
21555,0,1,0,0,0,0,0,0,0,0,0,rDB01,0
16680,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
9405,0,0,1,0,0,0,0,0,0,0,0,rDF02,1
912,0,1,0,0,0,0,0,0,0,0,0,rDB01,0
18388,1,0,0,0,0,0,0,0,0,0,0,rDA09,8
5709,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
22629,0,0,0,0,0,0,0,0,0,0,1,rDX08,7
11055,0,1,0,0,0,0,0,0,0,0,0,rDB01,0
21482,0,1,0,0,0,0,0,0,0,0,0,rDB01,0
22291,0,0,0,0,0,0,0,0,0,0,1,rDX08,7
11148,0,0,0,0,0,0,0,1,0,0,0,rDS06,5
5923,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
20607,0,0,0,0,0,0,0,0,0,1,0,rDX07,6
4954,0,0,1,0,0,0,0,0,0,0,0,rDF02,1
32763,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
22656,0,0,0,0,0,0,0,0,0,0,1,rDX08,7
16973,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
22531,0,0,0,0,0,0,1,0,0,0,0,rDS05,4
18317,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
18376,1,0,0,0,0,0,0,0,0,0,0,rDA09,8
32783,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
22714,0,0,0,0,0,0,0,0,0,0,1,rDX08,7
20650,0,0,0,0,0,0,0,0,0,1,0,rDX07,6
17439,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
4812,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
22196,0,0,0,0,0,0,0,0,1,0,0,rDU11,10
20614,0,0,0,0,0,0,0,0,0,1,0,rDX07,6
22685,0,0,0,0,0,0,0,0,0,0,1,rDX08,7
18300,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
22255,0,0,0,0,0,0,0,0,0,0,1,rDX08,7
4910,0,0,1,0,0,0,0,0,0,0,0,rDF02,1
21464,0,1,0,0,0,0,0,0,0,0,0,rDB01,0
22327,0,0,0,0,0,0,0,0,0,0,1,rDX08,7
20647,0,0,0,0,0,0,0,0,0,1,0,rDX07,6
4762,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
20580,0,0,0,0,0,0,0,0,0,1,0,rDX07,6
21520,0,1,0,0,0,0,0,0,0,0,0,rDB01,0
18697,1,0,0,0,0,0,0,0,0,0,0,rDA09,8
22130,0,0,0,0,0,0,0,0,1,0,0,rDU11,10
20966,0,0,0,0,0,1,0,0,0,0,0,rDR04,3
4711,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
4981,0,0,1,0,0,0,0,0,0,0,0,rDF02,1
20561,0,0,0,0,0,0,0,0,0,1,0,rDX07,6
22652,0,0,0,0,0,0,0,0,0,0,1,rDX08,7
4942,0,0,1,0,0,0,0,0,0,0,0,rDF02,1
18340,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
17978,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
17012,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
21641,0,0,0,0,0,1,0,0,0,0,0,rDR04,3
3840,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
4077,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
10677,1,0,0,0,0,0,0,0,0,0,0,rDA09,8
11193,0,0,0,0,0,0,0,1,0,0,0,rDS06,5
4972,0,0,1,0,0,0,0,0,0,0,0,rDF02,1
10764,0,0,0,0,0,1,0,0,0,0,0,rDR04,3
22263,0,0,0,0,0,0,0,0,0,0,1,rDX08,7
10944,0,0,0,0,0,0,0,1,0,0,0,rDS06,5
4014,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
21535,0,1,0,0,0,0,0,0,0,0,0,rDB01,0
6411,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
10729,0,0,0,0,0,1,0,0,0,0,0,rDR04,3
21458,0,1,0,0,0,0,0,0,0,0,0,rDB01,0
20618,0,0,0,0,0,0,0,0,0,1,0,rDX07,6
4990,0,0,1,0,0,0,0,0,0,0,0,rDF02,1
10989,0,1,0,0,0,0,0,0,0,0,0,rDB01,0
21677,0,0,0,0,0,1,0,0,0,0,0,rDR04,3
8670,0,0,1,0,0,0,0,0,0,0,0,rDF02,1
4935,0,0,1,0,0,0,0,0,0,0,0,rDF02,1
22234,0,0,0,0,0,0,0,0,1,0,0,rDU11,10
22185,0,0,0,0,0,0,0,0,1,0,0,rDU11,10
16652,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
10703,0,0,0,0,0,1,0,0,0,0,0,rDR04,3
22620,0,0,0,0,0,0,0,0,0,0,1,rDX08,7
5055,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
6176,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
4760,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
9578,0,0,1,0,0,0,0,0,0,0,0,rDF02,1
22512,0,0,0,0,0,0,1,0,0,0,0,rDS05,4
5857,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
20949,0,0,0,0,0,1,0,0,0,0,0,rDR04,3
6105,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
10978,0,1,0,0,0,0,0,0,0,0,0,rDB01,0
6195,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
20989,0,0,0,0,0,1,0,0,0,0,0,rDR04,3
22552,0,0,0,0,0,0,1,0,0,0,0,rDS05,4
17518,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
17528,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
10933,0,0,0,0,0,0,0,1,0,0,0,rDS06,5
3884,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
5929,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
6253,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
11016,0,1,0,0,0,0,0,0,0,0,0,rDB01,0
10880,0,0,0,0,0,0,0,1,0,0,0,rDS06,5
22113,0,0,0,0,0,0,0,0,1,0,0,rDU11,10
3826,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
22723,0,0,0,0,0,0,0,0,0,0,1,rDX08,7
366,0,1,0,0,0,0,0,0,0,0,0,rDB01,0
4771,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
4727,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
20586,0,0,0,0,0,0,0,0,0,1,0,rDX07,6
20550,0,0,0,0,0,0,0,0,0,1,0,rDX07,6
22116,0,0,0,0,0,0,0,0,1,0,0,rDU11,10
10892,0,0,0,0,0,0,0,1,0,0,0,rDS06,5
4958,0,0,1,0,0,0,0,0,0,0,0,rDF02,1
3878,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
3821,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
3814,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
5927,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
22596,0,0,0,0,0,0,0,0,0,0,1,rDX08,7
9418,0,0,1,0,0,0,0,0,0,0,0,rDF02,1
21629,0,0,0,0,0,1,0,0,0,0,0,rDR04,3
4723,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
6380,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
22260,0,0,0,0,0,0,0,0,0,0,1,rDX08,7
11028,0,1,0,0,0,0,0,0,0,0,0,rDB01,0
4799,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
22509,0,0,0,0,0,0,1,0,0,0,0,rDS05,4
10899,0,0,0,0,0,0,0,1,0,0,0,rDS06,5
9983,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
22655,0,0,0,0,0,0,0,0,0,0,1,rDX08,7
10718,0,0,0,0,0,1,0,0,0,0,0,rDR04,3
4743,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
20947,0,0,0,0,0,1,0,0,0,0,0,rDR04,3
20699,0,0,0,0,0,1,0,0,0,0,0,rDR04,3
17933,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
10811,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
345,0,1,0,0,0,0,0,0,0,0,0,rDB01,0
20631,0,0,0,0,0,0,0,0,0,1,0,rDX07,6
17952,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
16637,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
18402,0,0,0,0,0,0,0,0,1,0,0,rDU11,10
4072,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
4058,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
6000,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
22601,0,0,0,0,0,0,0,0,0,0,1,rDX08,7
11162,0,0,0,0,0,0,0,1,0,0,0,rDS06,5
11134,0,0,0,0,0,0,0,1,0,0,0,rDS06,5
6186,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
9393,0,0,1,0,0,0,0,0,0,0,0,rDF02,1
21510,0,1,0,0,0,0,0,0,0,0,0,rDB01,0
4881,0,0,1,0,0,0,0,0,0,0,0,rDF02,1
21473,0,1,0,0,0,0,0,0,0,0,0,rDB01,0
11049,0,1,0,0,0,0,0,0,0,0,0,rDB01,0
16615,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
17916,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
22559,0,0,0,0,0,0,1,0,0,0,0,rDS05,4
18296,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
22138,0,0,0,0,0,0,0,0,1,0,0,rDU11,10
4912,0,0,1,0,0,0,0,0,0,0,0,rDF02,1
11228,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
3887,0,0,0,0,1,0,0,0,0,0,0,rDP03,2
